,ae_kmeans,rbm_svm,dsvdd,join
AUC,0.9409695947446437,0.8127476175317228,0.9678288958739961,0.9715216918184564
F1_SCORE,0.9767197665413911,0.7756841152430891,0.9768654543529475,0.9734530116535879
MCC,0.8881369069037915,0.5095229106680464,0.8925062322246344,0.8785168674959102
TIME,7.139999628067017,3.936999797821045,2.7060000896453857,6.015000104904175
